q_id,contents,category
452,奇功收一原,賦
453,代張南軒贈別朱晦庵 押軒,詩
454,"問: 子曰 “泰伯其可謂至德也已矣, 三以天下讓.” 孟子曰 “好名之人, 能讓千乘之國.” 泰伯之至德, 亦近於好名, 而好名之於人, 抑可謂之至德歟?",疑
455,"善歌者, 使人繼其聲.",義
456,披_辭食,賦
457,"臨行爲文告_州北巖祠, 押州.",詩
458,"問: 子曰 “君子不憂.” 孟子曰 “堯以不得舜爲己憂, 舜以不得禹皐陶爲己憂.” 中庸曰: “恐懼乎所不聞.” 大學曰: “心有所恐懼, 則不得其正.” 亞聖之言, 似若遙庭於夫子之訓, 大學之敎, 未免崖異於中庸之義者, 何歟?",疑
459,"用民之力, 歲不過三日.",義
460,"宋蘇軾請追還收買浙燈之命, 將來放燈只如舊例, 凡遊觀宴遊賜與之物, 務從儉約.",表
461,"命羲和, 欽若昊天",賦
462,單_讓之高,賦
463,"河陰道上, 遇二鳥有感, 押道.",詩
464,"問: 夫子之於人, 許仁鮮矣, 仲弓季路聖門之高弟, 不許其仁. 令尹子文陳文子列國之賢大夫, 亦不許其仁. 獨於管仲曰如其仁如其仁者, 何歟?",疑
465,"水無當於五色, 五色不得不章.",義
466,作歌悼瓠子,賦
467,"武林夢進紅靴銘, 押紅.",詩
468,"問: 於大學經一章曰明德, 曰新民, 曰止至善. 於中庸第一章曰天命, 曰率性, 曰修道. 庸學相爲表裏, 而首章之義, 不同何歟? 不同之中, 抑有同之之義歟? 必有義理淺深工夫次第, 願與諸生辨之.",疑
469,正位凝命,義
470,周師尙父進丹書,表
471,"唐司徒中書令裵度, 謝命入知政事勞賜旁午.",表
472,"唐韓弘, 謝命都統淮西諸軍而無討, 自行使子公武以兵會.",表
473,"明進士王越, 謝見朝鮮貢使付進策卷, 會吏部識其姓名, 稱以當任風憲, 拜監察御史.",表
474,"皇明諸大臣, 賀下詔求賢, 復出御製, 擬_蘭操.",表
475,用賢無敵是長城,賦
476,師氏之言若江海之浸,賦
477,佇見君王按玉宸 押王,詩
478,問子思引詩及夫子之言極論中庸道體之妙有曰鳶飛戾天魚躍于淵又曰鬼神之爲德其盛矣乎鳶魚之無知而能與於中庸之道鬼神之無形而可驗其體用之實者何歟,疑
479,大時不齊,義
480,貽書勉作史,賦
481,作迎享送神詩遺柳州民 押柳,詩
482,問中庸曰喜怒哀樂之發而皆中節謂之和孟子之不寐文王之赫斯夫子之慟哭三月不知肉味其果不至於過於中而失其和歟,疑
483,賜爵祿於太廟,義
484,不愧于屋漏,箴
485,_小民祈天永命,策
486,"宋呂端, 謝於御製釣魚詩, 有磻溪須問釣魚人之句.",表
487,"齊孟子, 謝引詩爲諭, 仍問此心之所以合於王.",表
488,"漢袁_, 請勿悔往事, 立淮南三子.",表
489,"漢周勃, 謝褒以安劉必勃.",表
490,隔日講羲易.,賦
491,"泣送王先托少弟, 押生.",詩
492,"問: 子曰""視其所以, 觀其所由, 察其所安"", 孟子曰""觀其眸子, 人焉瘦哉"", 子思曰""動乎四體"", 是亦相人之道歟, 聖人之相人歟? 相人之相人同歟, 異歟?",疑
493,君子以愼言語節飮食.,義
494,托喩天河.,賦
495,"題蕭士贊論蜀道難後, 押難.",詩
496,成器而動.,疑
497,"明右都御史願佐, 謝以吏訴狀授之.",表
498,天道下濟而光明,賦
499,"漢諸葛亮, 請親信貞亮死節之臣.",表
500,"趙平原君勝, 請封李同之父爲侯.",表
501,"宋歐陽修, 謝命入見, 怪其髮白, 問在外幾年, 今年幾何, 仍命判內銓.",表
502,"唐魏徵, 請勿以闕儲譴官吏.",表
503,"漢東方朔, 謝有詔止宣室置酒, 賜黃金三十斤.",表
504,"宋知陝州梅詢, 謝復拜直集賢院.",表
505,百姓日用而不知,賦
506,問亂之_極自有當治之道故先儒取譬於陰盛而陽生然則亂無不當治當如陰陽之循環不_歟? 試以前代人事驗於天理則亦不無異同者夏桀之昏德而成湯興焉商辛之毒_而武王代之五季擾攘生民塗炭而趙宋代之以寬仁拯濟之胡元僭擾天下腥_而 皇明代之以神武洗滌之此則人事_合於天理而然歟? 周平東遷列國分_而終歸於_秦之狂暴桓靈不_曹馬繼纂而又承以南杜之分裂天_之失馭甚矣而竟不得削平其__遂有朱全忠之_逆靖康之蒙塵慘矣而亦不能自_於南渡馴致忽必烈之幷_此則人事有違於天理而然歟? 抑或關係於運數不容人事而然歟? 大抵亂之可治猶陰之有陽苟能盡其人事之所當爲如天理之消長往來以復受_則夫安有終亂而無治者哉而不惟前代人事之有違於天理者如彼至于今日則中華陸_冠屢倒置許久此實志士仁人之所沈歎永傷也 顧我 國家僻處外服雖難遽議以上所云云者若修其政_以體_成輔相之義則亦可爲東周庶幾應一治之期而不底爲獨陰無陽之歸未知何由而可以致此歟? 諸生屬窮陰之節抱京周之念其所畜積其各悉陳主司當採擇而上聞焉,策
507,下民惟草.,賦
508,"題朱文公憂國願豊詩後, 押豊.",詩
509,"問: 論語曰""夫子之言性與天道, 不可得而聞也"", 孟子曰""知其性則知天"", 又曰""誠者天之道也"", 子思子曰""天命之謂性"", 又曰""自誠明謂之性"", 性與天道, 卽夫子之所不言, 而孟子子思之若是言之者, 何歟?",疑
510,上下和親而不相怨.,義
511,石丘語宋_.,賦
512,"明日訪荷_丈人不遇, 押訪.",詩
513,"問: 顔淵問仁, 子曰""克己復禮爲人"", 其稱管仲, 則曰""管氏而知禮, 孰不知禮"", 又曰""如其仁, 如其仁"", 旣譏其不知禮, 又與其仁與答顔子之問, 其旨不同, 何歟?",疑
514,鳳凰鳴矣于彼高岡.,義
515,"漢陳平請以決獄, 問廷尉錢穀出入, 問治粟內史.",表
516,周周公進洛師圖,表
517,宋_甫請勿用兵西夏選用大臣宿將賊所畏服者兼帥五路,表
518,漢劉信謝封_羹候,表
519,皇明戶部主事海瑞謝命釋出獄還其官,表
520,本朝觀象監謝賜內藏天元寶曆仍令模寫_驗天象,箋
521,皇明陝西巡撫右都御史秦紘謝親閱其資治釋繫獄賜_萬錠以旅其兼仍命巡撫河南,表
522,晋楚隕公鐘儀謝從范變之言重爲之禮使歸求成,表
523,_水名溪.,賦
524,"題陳圖南愛睡歌後, 押睡.",詩
525,"問: 孟子曰""人之患在好爲人師"", 又曰""得天下英才而敎育之"", 是亦一樂, 孔子曰""里仁爲美, 擇不處仁, 焉得知"", 又欲居九夷曰""君子居之, 何陋之有"", 聖賢前後之言不同, 何歟?",疑
526,"百_卿士, 媚于天下.",義
527,種玉.,賦
528,"宣武祠拜楊經理畵像, 押像.",詩
529,"問: 曾點曰""暮春者, 春服旣成, 冠者五六人, 童子六七人, 浴乎沂, 風乎舞雩, 詠而歸"", 夫子_然탄왈""吾與點也. 其與天地萬物, 上下同流, 各得其所之妙, 可得聞之歟"", 且只言暮春而不言四時於夏於秋於冬, 則無是樂歟. 願與諸生論之.",疑
530,"君子履之, 必有__之心.",義
531,明張鉉等謝賜冠帶命於國子監進學仍加勉諭,表
532,春和議賑貸,賦
533,宋國子_士李覺謝親幸太學命講易之泰卦改判國子監,表
534,皇明大理少卿_謙謝草勅引過仍命如舊朝參令百官言事毋以謙爲戒,表
535,楚司馬子反射不治私語華元之罪遂許宋平,表
536,註離騷.,賦
537,"免冠謝公子, 押謝.",詩
538,"問: 中庸曰""無道其_足以容"", 然則箕子比干何以以仁見稱於夫子, 而寗武子之愚_伯玉之卷懷, 果合於中庸之道歟?",疑
539,君子以飮食宴樂.,義
540,國事屬晦叔.,賦
541,"壽民詩謝王佺期寄丹, 押丹.",詩
542,"問: 大學曰""格物而後知至"", 致知固在於格之之後, 而朱子補亡章曰""因其已知之理而益窮之然"", 則格物反在於知至之後歟? 經文則只說格物, 不說窮其理, 而補亡章則曰""卽物"", 而窮其理聖賢謨訓之不同, 何歟?",疑
543,君臣相正國之肥.,義
544,宋致仕司空李昉謝於燈夕召至御樓喩以兩入中書未嘗有傷人害物之事,表
545,宋參知政事畢士安謝諭以行且相卿因問誰可與卿同進者,表
546,宋眞德秀請製_器置諸座側,表
547,虞_州民人等謝作十有三載內同,表
548,唐宣撫節度使韓弘謝諭以大臣不可以暑行待秋行之,表
549,屈原之過過於忠.,賦
550,"托興邯鄲才人曲, 押人.",詩
551,誕先登于岸.,義
552,託意貨殖傳.,賦
553,夢待愚溪神.,詩
554,今天動威以彰周公之德.,義
555,言行君子所以動天地,賦
556,漢渤海議曺王生謝水衡丞以褒顯_遂,表
557,宋監察御史裏行程顥請寢張載明州推勘之命以盡朝廷待士之道,表
558,魯群臣賀以夾谷之會孔子誅齊淫樂齊歸_汶陽龜陰之田,表
559,虞_州民人等謝作十有三載乃同,表
560,漢陸賈進新語,表
561,周秦襄公謝封爲諸侯諭以能逐大戎卽有岐豊之地,表
562,唐神策將士等乞遵軍師張巨濟之戒未捷勿飮酒,表
563,桃李喩李廣.,賦
564,"天門街從邵堯夫看花, 押看",詩
565,"問: 孟子曰""君子所過者化, 所存者神然"", 而孔子畏於匡厄於陳蔡居魯居衛, 而不能行王道, 惡在其過化存神之妙歟?",疑
566,命以坊欲.,義
567,坐睡失道士.,賦
568,"追顔太傳崔太師歌詩寄書史館韓郞中, 押寄.",詩
569,"問: 孟子曰""禹惡旨酒, 而好善言, 湯執中, 立賢無方, 文王視民如傷, 望道而未之見, 武王不泄邇, 不忘遠, 周公思兼三王, 以施四事"", 三王則各擧一事, 而於周公獨稱兼三王施四事三王, 則不能斯四事, 而周公之德有加於三王而然歟?",疑
570,視民利用遷.,義
571,漢丞相蕭何謝許以設壇具禮拜韓信爲大將,箋
572,作誥釋湯慙,賦
573,問祈禳,策
574,宋王縉請飭躬修省之意詔大臣以_理之事,表
575,魏徵不願爲忠臣,論
576,"子曰 : 勇者不懼. 子路問 : 行三軍誰與? 則曰 : 必也臨事而懼, 勇者則果不可與於行三軍歟!",疑
577,"孔明治蜀, 不立史官",論
578,"中庸曰 : 天命之謂性, 率性之謂道. 子貢曰 : 夫子之言性與天道, 不可得而聞也. 子貢以聖門高弟, 不可得聞, 以子思特以性與道爲中庸一書之宗旨, 何歟?",疑
579,貼書示精鑒,賦
580,"擬周周章謝仍封於吳, 以虞仲封於故夏墟, 列爲諸侯",表
581,剛柔類學道,賦
582,"擬齊田穰_謝與諸大夫郊迎勞師, 尊爲大司馬",箋
583,"國之治忽, 係人主之勞逸, 可不愼歟云云.",策
584,"治國之道非一, 而論者必以文治爲貴. 文卽禮樂敎化之謂也, 雖衰季之世, 亦可以文爲治歟云云.",策
585,_然答蘇軾,賦
586,雲風堂注離騷經.,詩
587,"問: 中庸曰""天命之謂性, 率性之謂道"" 性具健順五常之德, 道是日用當行之路, 人則固然在萬物, 亦可謂具是德而行是路歟.",疑
588,月出之光.,義
589,列傳首伯夷.,賦
590,贈詩武十七求訪愛子.,詩
591,"問: 子曰""道之不行也, 我知之矣, 智者過之, 愚者不及也. 道之不明也, 我知之矣, 賢者過之, 不肖者不及也"", 知合屬明而道之不行也曰""智者過之"", 賢合屬行而道之不明也曰""賢者過之"", 何歟? 過與不及俱爲失中, 則知愚賢不肖終不可入於道歟?",疑
592,昊天其子之.,義
593,"擬齊管仲請勿倍曹沫之約, 棄信於諸侯",箋
594,"易曰 : 吉凶悔吝, 生乎動. 動者, 成敗安危之幾, 可不愼歟云云.",策
595,"擬宋翰林學士蘇軾請於至日, 法先王, 奉若天道, 用之於國與身",表
596,宋翰林學士歐陽修請勿除包拯三使以全其名節,表
597,齊晏_請勿以彗星爲愼,表
598,臨諡省前言.,賦
599,"追記望關輔卜居意, 示子孫. 押望.",詩
600,"問: 孟子道性善, 而其答公都子問性曰: “乃若其情, 則可以爲善矣.” 若夫爲不善, 非才之罪也. 又曰: “天下之言性也, 則故而已矣, 故者以利爲本.” 旣曰性善, 而或舍性而言情, 或舍善而言故, 何歟? 所謂情與才, 其有同異之可言, 而故與利, 亦有合於性善之旨歟?",疑
601,學然後知不足.,義
602,命受僞官拜.,賦
603,"沛中原廟, 令歌兒吹樂. 押原.",詩
604,"問: 孔子曰: “天之未喪斯文也, 匡人其如予何?” 孟子曰: “如欲平治天下, 當今之時, 舍我其誰也?” 聖人之言, 前後一揆, 孔子則稱斯文, 孟子則稱平治天下, 何其自任之有別? 而孔子之取必於天, 孟子之未知天意, 亦有異同之可言歟?",疑
605,不_如自其口出.,義
606,漢劉敬謝赦廣武之繫謝以不用公言以困平城封建信侯,表
607,江漢朝宗于海,賦
608,文武竝用長久之術,賦
609,草尙之風必偃,賦
610,齊孟子謝就見諭以前日而不可得不識可以繼此而得見,表
611,魯南宮說請資孔子車馬同往周觀先王之遺制,表
612,商伊尹請罔以辯言亂舊政,表
613,秋月照寒水,賦
614,免冠謝上壽.,賦
615,"追憶西山觀梅, 題嚴武伯詩卷. 押詩.",詩
616,"問: 大學曰: “大學之道, 在明明德, 在新民, 在止於至善.” 所謂明德, 是何物事, 而以何道明之歟? 新民, 是得位者之事, 如不得位, 則將何所施, 而止於何地? 然後方可謂之至善歟?",疑
617,上酌民言則下天上施. 禮.,義
618,戒勿學儒士.,賦
619,"代魯句踐, 歎荊軻不講劍術. 押荊.",詩
620,"問: 子曰: “郁郁乎文哉! 吾從周.” 又曰: “行夏之時, 乘殷之輅.” 聖人於周禮, 美其文而從之, 則獨於時與輅, 必從二代之制, 何歟?",疑
621,于周受命. 詩.,義
622,楚宋玉謝喩以善哉論事使之更陳庶人之風,箋
623,漢周勃謝右丞相,表
624,獨朝于周,賦
625,唐裵復謝詔其父曰父忠子孝終喪必且爲翰林,表
626,秦朝群臣賀作誓告以群言之首悔不能詢玆黃髮,表
627,宋范祖禹請以仁宗白玉不如史魚之言爲法昭示所好以慰群望,表
628,周朝群臣賀旣伐于崇作邑于豊,表
629,宋王朝請覽所進少時占書勿罪占問朝士必欲以此爲罪幷臣付獄,表
630,晋尹鐸謝賞以免難之賞,表
631,免冠謝笞_.,賦
632,"託意巢父東歸詩, 示李白. 押意.",詩
633,"問: 中庸曰: “非天子, 不制度.” 然而_淵問爲邦, 夫子節文三代之制, 告之以行夏時乘殷輅服周冕, 至於論語卒篇, 悉取堯舜咨命之言, 湯武誓師之意, 與夫施諸政事者, 斟酌損益, 以成一王之制, 此與非天子不制度之義, 不同, 何歟?",疑
634,"孚于剝, 有_.",義
635,激贊梁丘子.,賦
636,"代劉元城, 謝知舊勸扁舟東下. 押謝.",詩
637,"問: 中庸曰: “視之而不見, 聽之而不聞, 體物而不可遺.” 然則視不見聽不聞, 而果何名狀謂之體物不遺歟?",疑
638,譽_斯士.,義
639,漢韓信謝諭以丞相數言將軍將軍何以敎寡人計策,箋
640,宋_臣賀得_頌十二篇於周大師以祀先王,箋
641,作序配子陵.,賦
642,_詩春申君. 押遺.,詩
643,"問: 子曰: “學而時習之, 不亦悅乎?” 又曰: “弟子入則孝, 出則悌, 謹而信, 汎愛衆, 而親仁, 行有餘力, 則以學文.” 時習餘力, 有先後緩急之不同歟? 時習而悅者, 何事, 而孝悌以下工夫, 亦可以不學而爲之歟?",疑
644,戰陣無勇非孝. 禮.,義
645,獨著辨姦論.,賦
646,"夜夢郭景純見示詩, 續成記事. 押事.",詩
647,"問: 子曰: “吾十有五而志于學, 四十而不惑, 七十而從心所欲不踰矩.” 以夫子生知之聖, 何待於志學, 而十五以前所志者, 何事歟? 智者不惑, 則四十之前, 仁智工夫, 別有所未盡者歟? 假我數年, 卒以學易, 可無大過者, 先儒以爲夫子七十時語, 則似未免有小過, 而不踰矩者, 何歟?",疑
648,旣其女遷. 詩.,義
649,漢定襄太守班伯謝諭以許過故都上塚仍詔太守皆會,表
650,惜亡一直申.,賦
651,"武昌宮祠, 見淵聖賜劍生鐵花, 感吟. 押見.",詩
652,"問: 子曰: “舜好問而好察邇言.” 此言知也. 又曰: “回之爲人也, 得一善, 則拳拳服膺而弗失之矣.” 此言仁也. 以大舜之聖, 只稱其智而不稱仁, 以_子之賢, 只稱其仁而不稱智者, 何歟?",疑
653,"洌彼下泉, 浸彼苞_. 詩.",義
654,子方優范_.,賦
655,"成都宴見牡丹, 憶兩京盛事. 押見.",詩
656,"問: 孔子以比干諫而死爲仁, 孟子以百里奚不諫而去爲智. 諫者是則不諫者必非, 而聖賢俱許之者, 何歟? 比干之仁, 其可謂不智, 而百里奚之去, 亦由於不仁歟?",疑
657,百姓日用而不知. 易.,義
658,宋蘇軾請御試對策勿取阿諛順旨者以示陞下不諱切直之意,表
659,漢群臣賀賞季布誅丁公,表
660,困_激二子.,賦
661,雲氣說對高祖怪問. 押祖.,詩
662,"問: 中庸曰: “修道之謂敎.” 敎, 若禮樂刑政之屬, 是也. 孔子之四敎, 司徒之五敎, 不言禮樂刑政, 其非修道而然歟? 至於大學所謂成敎於國, 亦與中庸之敎, 同歟異歟?",疑
663,燕處則聽雅頌之音.,義
664,責沈贈行.,賦
665,泣和子瞻歸去來詞. 押來.,詩
666,"問: 孔子曰: “爲人由己由人乎哉?” 而其答子貢之問爲仁則曰: “事其大夫之賢者, 友其士之仁者.” 曾子亦曰: “堂堂乎張也, 難與_爲人矣.” 是又似乎爲仁不專由於己者. 聖賢之言, 如是不同, 爲仁之道, 將何所適從歟?",疑
667,祇台德先.,義
668,宋歐陽修請錄尹洙遺忠特賜其子一官以免饑寒,表
669,皇明農民等謝於午朝諭侍臣以天氣向炎正農夫耕耘誌時仍誦_實中詩,表
670,漢鄧禹謝封_侯比切於蕭何,表
671,中批除諫議.,賦
672,冷泉亭謝賜野服濯足圖. 押圖.,詩
673,"問: _淵問仁, 子曰: “克己復禮爲仁.” _淵請問其目, 子曰: “非禮勿視, 非禮勿聽, 非禮勿言, 非禮勿動.” 夫仁者, 包四性, 爲本心之全德, 禮者, 是性中一箇物, 而夫子以復禮爲仁者, 何也? 且四者, 修身之大法, 而九經之論修身, 只曰非禮不動, 而不及視聽言者, 亦何也? 願聞其說.",疑
674,蓄疑敗謀.,義
675,經筵憶淳夫.,賦
676,臨朝發歎激應侯. 押歎.,詩
677,"問: _淵_然歎曰: “仰之彌高, 鑽之彌堅, 瞻之在前, 忽焉在後.” 或高或堅在前在後者, 果何物歟?",疑
678,大禮與天地同節.,義
679,漢王褒謝諭以辭賦賢於倡優博變遠矣擢爲諫大夫,表
680,漢朝群臣賀諭以吾治天下亦欲以柔道行之,表
681,擬漢衛將軍長安世謝閔其年老復徵延壽爲左曺太僕,表
682,宋王曾請瑞應推而勿居異日或有災_則免夫輿議,表
683,宋蔡元定子沈謝褒其父之寃追贈迪功郞,表
684,宋蘇軾請解__馬以須東方之明徐行於九軌之道,表
685,宋賀以孫奭所上無逸圖施于講讀閣又詔蔡襄穹無逸篇于閣屛,表
686,書石賀__.,賦
687,正當扶起沮溺輩. 押起.,詩
688,問云云.,疑
689,明命使賦.,義
690,不服深衣.,賦
691,寓感溫公碑. 押碑.,詩
692,"三加彌尊, 加有成也.",義
693,蜀漢君臣賀關羽威震華夏曹操議徙許都,表
694,宋歐陽修請詔禁無名詩傷毁近臣委任三司使王堯臣辦事,表
695,楚伍擧請勿土木之崇高_鏤爲美法先君除亂克敵無惡於諸侯,表
696,商諸侯等謝諭以無從匪彛無卽_淫各守爾典以承天休,表
697,送窮卒歸正.,賦
698,論琴詩爲退之雪寃. 押論.,詩
699,"問: 中庸曰: “誠者自成也, 而道自道也.” 誠以心言, 道以理言, 誠與道, 心與理, 分而言之, 則爲二, 而合以言之, 則可以爲一歟? 若論其用工先後, 則亦有本末之可言歟?",疑
700,在亶乘玆大命.,義
701,改作睦親宅.,賦
702,"在夔府, 憶秦中故事, 作秋興詩. 押秦.",詩
703,"問: 論語曰 “十有五而志于學, 三十而立, 四十而不惑, 五十而知天命, 六十而耳順, 七十而從心所欲不踰矩.” 夫子以生知之聖, 亦必十年一進, 而_子三十而夭, 不過夫子而立之年, 而於聖人未達一間, 則似造乎耳順以下工夫, 何歟?",疑
704,"慮善以動, 動惟厥時.",義
705,擬宋知陝州寇準謝不治生日造山棚之罪諭以止是_耳,表
706,追憶曹公誠,賦
707,"對蘇東坡畵像酬_曉山, 押像.",詩
708,"問: 子曰 “君子謀道, 不謀食.” 禹稷躬稼, 何所謀歟?",疑
709,鞠有黃華,義
710,論相語王朔,賦
711,"浚稽山送陳步樂圖上所過山川, 押圖.",詩
712,"問: 夫子聞荷_者之言而曰: “果哉! 末之難矣.” 聞接輿之歌, 而欲與之言於長沮桀溺, 則曰: “鳥獸不可與同群.” 於柳下惠少連, 則曰: “言中倫, 行中慮.” 此賢人均是潔身逃世之士, 而聖人或深斤之, 或欲兄之, 或許, 或不許之何?",疑
713,凡周之士不顯亦世,義
714,越范_乞從會稽之罰,箋
715,盡信書不如無書,論
716,成性存存道義之門,賦
717,續序思穎詩,賦
718,"見三君子交情知楊大年道正, 押道.",詩
719,"問: 孟子曰 “我四十不動心.” 然則心貴不動, 而以亞聖之學, 四十以前, 不能無動歟? 又曰: ""動心忍性, 增益其所不能"" 此則反以動心爲增益之資, 何歟?",疑
720,"禮煩則亂, 事神則難.",義
721,"耕也, _在其中.",賦
722,"沼上誦靈臺詩, 諷梁惠王, 押上.",詩
723,"問: 子曰 “鬼神之德, 其盛矣乎!” 又曰: “視之而不見, 聽之而弗聞.” 又曰: “洋洋乎如在其上, 如在其左右.” 其下又引詩而結曰: “神之格思, 不可度思, _可射思?” 旣曰視不見聽不聞, 則何以知其在上左右歟? 旣曰在上在左右, 則又何以謂之不可度_可射歟? 旣又曰不可度_可射, 則又何以知其德之盛矣歟?",疑
724,_俊尊上帝,義
725,周召公請用顧畏于民_,表
726,"漢朝群臣賀立太子, 守關中, 立宗廟社稷",表
727,著論譏陽子,賦
728,"托意九歌篇, 押歌.",詩
729,"問: 聖賢出處去就, 自有義理權度. 此誠後學之所可講究者也. 孟子曰 “詩亡然後春秋作.” 孔子作春秋以垂後世, 而孟子游事齊梁之君, 輒勸以行王道. 夫齊魏俱以王室樹屛之國, 及周之衰, 各自稱王, 與天王相抗, 難免僭竊之誅, 而孟子不憚爲之屈. 其於春秋尊王黜僭之義, 若有不同者, 何歟? 其或有隨時處義之方, 自不得不然者而然歟?",疑
730,"載輸爾載, 將伯助予.",義
731,追歎直聖人,賦
732,"_州謫路, 憶曹南院前言有感, 押路.",詩
733,"問: 孟子曰 “師文王, 大國五年, 小國七年, 必爲政於天下然.” 而文王享國五十年, 終不得爲政於天下. 又曰 “行仁政而王, 莫之能禦也.” 然而孟子勸_公行仁政, 而不勉其興王業, 只云“是爲王者師” 聖賢著訓, 亦有言實之不相符, 何歟?",疑
734,義爲樂不可爲僞,義
735,"宋崇政殿說書程_請皇帝在宮中, 起居飮食, 必使經筵官知之",表
736,擬宋胡安國進春秋傳,表
737,擬宋朝_臣賀唐季百年之後始擧立儲之禮,表
738,"周群臣等謝於燕饗中作四牡詩, 敍其情而閔其勞",表
739,"本朝群臣賀僞辛攻遼之日, 仗義回軍, 風聲著聞於天下",表
740,"魏吳起請勿恃山河之固, 務修厥德",表
741,縱敵爭荊州,賦
742,"離騷兼風雅, 押風.",詩
743,"問: 孟子於梁惠王, 不遠千里而來, 於齊宣王, 辭十萬而去. 若以惠王賢於宣王, 則何故曰不仁哉? 梁惠王若以宣王不賢於惠王, 則何故曰是心足以王? 齊梁之優劣, 孟子之去就, 可得明言歟?",疑
744,會朝淸明,義
745,論詩歎裸將,賦
746,"得商頌十二篇, 歸祀先王, 押王.",詩
747,"問: 中庸曰 “戒愼乎其所不覩, 恐懼乎其所不聞.” 又曰 “君子愼其獨也.” 末章申明首章戒懼愼獨之意, 而先後次序不同者, 何歟? 於愼懼則曰 不動而敬, 不言而信, 於愼獨則曰 內省不懼, 無惡於志, 靜時存養, 固在敬信, 而動後省察, 當用何工歟? 只言存養之工, 而不言省察之工者, 亦何歟?",疑
748,"天地始肅, 不可以_.",義
749,書報遠_人,賦
750,"作信美樓記, 辨王仲宣事歸, 押樓.",詩
751,"問: 大學曰 “誠其意者, 毋自欺也.” 小人之_其不善, 而著其善, 卽言其自欺之患, 則毋自欺之極工, 只在此一節歟? 先儒言毋自欺說細密, 而小人閑居一段, 說得粗然, 則何者爲毋自欺細密工夫歟?",疑
752,亦白其馬,義
753,抑揚識意氣,賦
754,"歎周濂溪不見王荊公, 押見.",詩
755,"問: 子曰 “三分天下, 有其二, 以服事殷, 周之德, 其可謂至德也已矣.” 孟子嘗謂齊王曰 “取之, 燕民不悅, 則勿取, 古之人有行之者, 文王是也.” 文王果有取商之心, 而以商民不悅, 故不取, 則烏可謂之至德也歟? 文王之服事, 可謂至德, 則武王之伐紂, 其可謂非至德歟?",疑
756,"吉甫作誦, 穆如淸風.",義
757,擬宋文天祥謝御集英殿賜進士出身,表
758,漢朝群臣賀周亞夫至河南得劇猛,表
759,魯詩人進在泮獻功頌,表
760,"商耿都民人等謝登進厥民, 喩以往哉生生, 今予將試以汝遷, 永建乃家",表
761,宮墻語景伯,賦
762,"讀孔子世家, 歎太史公自亂其例, 押史.",詩
763,"問: 子曰 “苟有用我者, 三年有成.” 又曰 “善人爲邦百年, 亦可以勝殘去殺矣.” 又曰 “如有王者, 必世而後仁.” 善人之不及聖人固矣, 而王者卽聖人受命而興者, 猶必待三十年之久, 何也? 雖以夫子之聖, 若其敎化之浹, 亦必世而後能之, 而王者爲政, 只求其成, 則亦將三年以期之歟? 善人爲邦若過百年, 則亦可不止於勝殘去殺而已歟?",疑
764,尊有玄酒,義
765,羊祜不若范文子,賦
766,"托意祭田橫文, 押祭.",詩
767,"問: 孟子曰 “舜察於庶物, 明於人倫, 繼之以禹湯文武周公孔子.” 盖言群聖以道相承也. 堯以允執厥中, 授諸舜, 而獨不言之何歟? 其曰周公思兼三王者, 謂斟酌三王之事, 而損益之, 猶孔子集群聖而大成也. 然於七篇末章, 歷論道統傳授, 首之以堯, 如太公望散宜生亦在於見而知之之列, 而獨不槪及於周公者, 亦有徵意於其間歟?",疑
768,惟十有三祀,義
769,松竹喩節義,賦
770,擬高麗執事侍郞祿眞謝喩角干以直言如此何喜如焉因使儲君知之,表
771,問近思錄,策
772,擬宋李及謝諭以淸愼未嘗妄有所擧其言可信特以所薦人張錫除監察御史,表
773,杜陵之詩與春秋同一筆,賦
774,"詠桃柳句, 贈路侍御入朝, 押句.",詩
775,"問: 論孟俱是載道之文, 而魯論言學處多, 而罕言性命, 鄒書極言性命, 而不及於學. 庸學幷爲傳道之書, 而思傳論性, 而不論心, 曾書說心, 而不說性, 四聖立言之或有異同, 未知何義, 而抑有取舍淺深之可言歟?",疑
776,入學以齒,義
777,聞磬知有心,賦
778,"中書堂答宋琪問玄_修養之道, 押道.",詩
779,"問: 子曰 “逝者如斯, 不舍晝夜.” 孟子曰: “原泉混混, 不舍晝夜.” 聖賢取譬之義, 有同異之可言歟? 若以道之體用言之, 則何者爲體, 何者爲用歟? 鳶飛戾天魚躍于淵, 盖言道之費隱, 而亦有契於孔孟觀水之理哉?",疑
780,王明_受其福,義
781,_衣覲先王,頌
782,阜財鮮民_,詩
783,安不忘危,箴
784,在泮獻_,賦
785,"擬周周公請勿誤庶獄庶愼, 克詰戎兵, 以覲文王之耿光, 以楊武王之大烈",表
786,宋拜富弼同平章事,制
787,夏群臣賀遂疏儀狄,表
788,周召公進公劉篇,表
789,"周微子謝命尹玆東夏, 弘乃烈祖, 律乃有民, 永綏厥位",賦
790,天下文章莫大是,賦
791,"綵花譬孟子, 押子.",詩
792,"問: 子曰 “殷有三仁焉.” 釋之者曰 “此三人者, 各得其本心. 故同謂之仁子.” 又曰 “伯夷叔齊求仁而得仁.” 然則聖人旣許夷齊之仁, 而不列於三仁者, 何歟? 抑其所得仁者, 有異於三仁之各得本心而然歟?",疑
793,"文王孫子, 本支百世.",義
794,賈誼未爲不遇,賦
795,"馮道傳末見李氏斷臂事, 感歐陽公寓意, 押意.",詩
